C,ISO,Country,ghgpc_1990,ghgpc_1995,ghgpc_2000,ghgpc_2005,ghgpc_2010,ghgpc_2011,ghgpc_2012
Guinea-Bissau,GNB,Guinea-Bissau,1.6,1.49,5.33,3.93,4.75,4.66,4.57
Guyana,GUY,Guyana,23.08,22.12,5.92,6.46,7.55,7.64,7.72
Haiti,HTI,Haiti,0.75,0.76,0.84,0.87,0.86,0.87,0.87
Honduras,HND,Honduras,2.8,3.01,3.52,3.36,2.58,2.58,2.58
Hong Kong,HKG,Hong Kong,6.43,6.61,6.63,6.73,7.81,8.02,8.2
Hungary,HUN,Hungary,9.39,7.48,7.38,7.48,6.62,6.44,6.31
Iceland,ISL,Iceland,85.39,78.06,14.66,13.41,16.95,17.17,16.92
India,IND,India,1.6,1.73,1.81,1.88,2.3,2.32,2.43
Indonesia,IDN,Indonesia,6.52,6.78,2.98,5.22,3.09,3.13,3.16
Iran,IRN,"Iran, Islamic Republic of",5.03,6.13,6.8,8.22,7.12,7.23,7.21
Iraq,IRQ,Iraq,5.7,5.27,5.23,4.55,4.74,4.76,4.74
Ireland,IRL,Ireland,18.57,18.94,17.91,16.85,14.68,13.55,13.64
Israel,ISR,Israel,8.8,9.99,10.91,10.81,10.66,10.83,10.99
Italy,ITA,Italy,8.95,9.1,9.6,9.61,8.09,7.95,7.93
Jamaica,JAM,Jamaica,3.94,4.42,4.79,4.96,5.32,5.46,5.59
Japan,JPN,Japan,10.67,11.42,11.19,11.34,10.6,10.97,11.62
Jordan,JOR,Jordan,3.45,3.67,3.73,4.26,3.96,3.93,3.88
Kazakhstan,KAZ,Kazakhstan,23.02,15.9,14.23,19.36,21.82,21.77,22.52
Kenya,KEN,Kenya,1.66,1.52,1.48,1.36,1.29,1.27,1.26
Kiribati,KIR,Kiribati,0.56,0.53,0.52,0.49,0.56,0.57,0.58
North Korea,PRK,"Korea, Democratic People's Republic of",8.07,5.14,4.28,4.47,4.25,4.35,4.44
South Korea,KOR,"Korea, Republic of",6.99,10.16,11.15,11.94,12.98,13.34,13.65
Kuwait,KWT,Kuwait,16.97,36.04,34.22,39.81,31.35,30.98,30.6
Kyrgyzstan,KGZ,Kyrgyzstan,7.57,2.28,2.01,2.15,2.44,2.56,2.52
Laos,LAO,Lao People's Democratic Republic,7.1,6.54,4.58,9.23,5.95,24.76,24.33
Latvia,LVA,Latvia,12.64,7.55,4.85,5.97,7.02,6.82,6.77
Lebanon,LBN,Lebanon,2.95,5.13,5.2,4.87,4.41,4.42,4.38
Lesotho,LSO,Lesotho,1.18,1.11,1.74,1.92,1.71,1.7,1.69
Liberia,LBR,Liberia,0.83,0.69,0.72,0.64,0.7,0.69,0.68
Libya,LBY,Libyan Arab Jamahiriya,14.34,13.74,12.3,12.5,12.88,13.12,13.34
Lithuania,LTU,Lithuania,14.7,8.05,6.08,7.17,8.73,9.63,9.72
Luxembourg,LUX,Luxembourg,34.32,26.29,23.55,29.37,25.66,25.04,24.08
Macau,MAC,Macao,2.82,2.98,2.98,2.89,2.94,2.98,3.01
Macedonia,MKD,"Macedonia, the former Yugoslav Republic of",7.13,5.89,5.66,5.55,5.83,6.01,6.17
Madagascar,MDG,Madagascar,4.19,3.46,5.35,8.74,5.56,5.42,5.29
Malawi,MWI,Malawi,0.9,0.82,1.36,1.59,1.43,1.39,1.36
Malaysia,MYS,Malaysia,10.9,12.17,7.32,9.54,9.33,9.45,9.55
Maldives,MDV,Maldives,0.61,1.4,1.12,1.64,2.1,2.13,2.15
Mali,MLI,Mali,3.87,3.5,6.85,7.29,5.49,5.35,5.21
Malta,MLT,Malta,6.94,6.85,6.26,7.64,4.84,4.75,4.49
Marshall Islands,MHL,Marshall Islands,0.1,0.11,0.12,0.13,0.15,0.15,0.15
Martinique,MTQ,Martinique,5.38,5.78,4.64,5.3,6.22,6.41,6.57
Mauritania,MRT,Mauritania,2.95,3.44,4.41,3.65,3.59,3.55,3.51
Mauritius,MUS,Mauritius,1.49,1.63,2.06,2.35,2.71,2.79,2.85
Mayotte,MYT,Mayotte,0.12,0.09,0.08,0.07,0.06,0.06,0.06
Mexico,MEX,Mexico,5.74,5.41,5.55,5.79,5.46,5.47,5.49
Micronesia,FSM,"Micronesia, Federated States of",0.49,0.54,0.36,0.37,0.39,0.4,0.4
Moldova,MDA,"Moldova, Republic of",8.71,3.84,2.63,3.39,3.17,3.23,3.23
Mongolia,MNG,Mongolia,26.57,25.73,21.59,10.95,9.16,9.23,9.28
Montserrat,MSR,Montserrat,5.41,6.36,79.1,95.09,114.69,117.59,120.02
Morocco,MAR,Morocco,1.52,1.56,1.78,2.32,2.4,2.44,2.47
Mozambique,MOZ,Mozambique,3.02,2.31,11.78,16.65,15.85,15.46,15.09
Myanmar,MMR,Myanmar,20.78,20.8,3.82,4.44,6.27,10.07,10.01
Namibia,NAM,Namibia,5.16,4.38,17.91,15.26,17.28,17.07,16.84
Nauru,NRU,Nauru,0.3,0.32,0.36,0.39,0.44,0.45,0.46
Nepal,NPL,Nepal,1.39,1.31,1.35,1.22,1.22,1.22,1.48
Netherlands,NLD,Netherlands,15.07,15.24,13.89,13.32,12.78,12.01,11.72
New Caledonia,NCL,New Caledonia,9.69,9.31,7.88,6.76,6.36,6.47,6.56
New Zealand,NZL,New Zealand,19.33,18.93,19.29,19.85,17.43,17.18,17.52
Nicaragua,NIC,Nicaragua,2.48,2.31,2.75,3.09,2.71,2.72,2.72
Niger,NER,Niger,0.89,0.89,1.01,0.78,0.71,0.69,0.67
Nigeria,NGA,Nigeria,1.71,1.7,2.56,2.68,1.83,1.81,1.78
Niue,NIU,Niue,0.43,0.5,0.61,0.71,0.88,0.92,0.95
Northern Mariana Islands,MNP,Northern Mariana Islands,0.12,0.11,0.12,0.16,0.23,0.23,0.23
Norway,NOR,Norway,15.91,16.19,15.86,15.48,13.43,12.98,12.72
Oman,OMN,Oman,19.53,19.24,16.16,19.07,21.07,20.07,18.77
Pakistan,PAK,Pakistan,1.55,1.65,1.72,1.89,2.05,2.06,2.06
Panama,PAN,Panama,2.74,3.2,3,3.15,4.19,4.24,4.27
Papua New Guinea,PNG,Papua New Guinea,7.1,7.51,1.54,1.55,1.56,1.55,1.55
Paraguay,PRY,Paraguay,15.02,12.61,7.37,15.37,7.74,7.67,7.6
Peru,PER,Peru,2.73,2.65,2.56,2.47,2.45,2.47,2.49
Philippines,PHL,Philippines,1.56,1.8,1.93,1.71,1.71,1.72,1.73
Poland,POL,Poland,12.43,11.92,10.24,10.78,11.16,11.07,10.85
Portugal,PRT,Portugal,5.88,6.85,8.6,9.67,6.77,6.79,6.84
Puerto Rico,PRI,Puerto Rico,0.84,0.78,0.78,0.83,0.86,0.88,0.89
Qatar,QAT,Qatar,46.12,54.56,74.85,74.76,56.23,52.8,50.31
R�union,REU,Reunion,2.21,2.64,2.84,2.8,2.91,2.97,3.01
Romania,ROU,Romania,10.58,7.72,5.92,6.31,5.39,5.79,5.6
Russia,RUS,Russian Federation,24.26,17.8,18.88,17.56,18.13,19.37,19.58
Rwanda,RWA,Rwanda,0.45,0.57,0.58,0.53,0.6,0.59,0.58
St. Helena Ascension and Tristan da Cunha,SHN,Saint Helena,2.59,2.02,2.14,1.8,1.99,2.08,2.15
Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,2.39,2.9,3.55,3.42,3.52,3.58,3.63
Saint Lucia,LCA,Saint Lucia,2.01,2.27,2.58,2.86,3.18,3.25,3.31
St. Pierre and Miquelon,SPM,Saint Pierre and Miquelon,0.21,0.22,1.53,1.43,1.47,1.51,1.55
Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,1.31,1.74,2.06,2.4,2.76,2.84,2.92
Samoa,WSM,Samoa,1.76,1.64,1.82,1.71,1.83,1.86,1.89
S�o Tom� and Pr�ncipe,STP,Sao Tome and Principe,0.83,0.82,1.48,1.15,1.04,1.04,1.04
Saudi Arabia,SAU,Saudi Arabia,12.65,14.11,15.42,15.63,18.18,18.55,19.41
Senegal,SEN,Senegal,1.47,1.39,4.93,4.46,4.12,4.04,3.95
Serbia,SRB,Serbia and Montenegro,7.92,5.33,5.29,3.72,6.68,6.89,7.08
Seychelles,SYC,Seychelles,5.26,5.34,6.7,7.9,9.36,9.63,9.86
Sierra Leone,SLE,Sierra Leone,2.38,2.28,3.57,2.9,2.02,2,1.98
Singapore,SGP,Singapore,10.79,12.78,12.28,10.59,10.38,10.48,10.54
Slovakia,SVK,Slovakia,13.69,10.04,9.36,9.08,9.2,8.92,8.5
Slovenia,SVN,Slovenia,9.97,9.47,10.52,11.18,10.66,10.43,10.19
Solomon Islands,SLB,Solomon Islands,18.93,10.82,9.91,9.21,8.51,8.43,8.35
Somalia,SOM,Somalia,2.84,2.96,2.77,2.51,2.23,2.19,2.15
South Africa,ZAF,South Africa,9.49,8.96,9.38,10.33,8.87,8.69,8.6
Spain,ESP,Spain,7.54,8.1,9.46,10.07,7.68,7.61,7.45
Sri Lanka,LKA,Sri Lanka,1.06,1.13,1.24,1.36,1.4,1.43,1.44
Sudan,SDN,Sudan,4.63,4.16,19.09,16.97,13.68,13.44,13.23
Suriname,SUR,Suriname,25.81,21.08,5.35,5.16,4.82,4.9,4.97
Swaziland,SWZ,Swaziland,2.62,2.38,2.65,2.66,2.83,2.83,2.83
Sweden,SWE,Sweden,9.02,9.32,8.78,8.26,7.61,7.28,6.91
Switzerland,CHE,Switzerland,8.45,7.78,7.41,7.54,7.3,6.7,6.77
Syria,SYR,Syrian Arab Republic,3.9,4.23,4.16,3.72,3.39,3.45,3.52
Taiwan,TWN,Taiwan_Province of China,6.79,8.77,11.37,12.79,13.23,13.64,14
Tajikistan,TJK,Tajikistan,4.09,2.2,1.63,1.8,1.93,1.96,1.92
Tanzania,TZA,Tanzania_United Republic of,3.73,3.04,6.35,6.94,5.21,5.06,4.93
Thailand,THA,Thailand,3.68,4.77,4.55,5.56,6.34,6.48,6.59
Timor Leste,TLS,Timor-Leste,0.6,0.9,0.72,0.89,0.87,0.87,0.86
Togo,TGO,Togo,3.54,2.98,4.53,5.79,3.58,3.52,3.45
Tokelau,TKL,Tokelau,0.22,0.24,0.24,0.3,0.32,0.32,0.32
Tonga,TON,Tonga,1.31,1.57,1.79,1.52,1.46,1.49,1.51
Trinidad and Tobago,TTO,Trinidad and Tobago,12.61,13.37,19.02,33.87,43.72,44.84,45.84
Tunisia,TUN,Tunisia,2.61,2.75,3.22,3.2,3.54,3.6,3.65
Turkey,TUR,Turkey,4.16,4.46,5.01,5.13,5.86,5.95,6.02
Turkmenistan,TKM,Turkmenistan,22.17,13.19,14.05,16.68,17.33,17.36,17.82
Turks and Caicos Islands,TCA,Turks and Caicos Islands,0.21,0.52,0.24,0.34,0.59,0.59,0.59
Tuvalu,TUV,Tuvalu,0.45,0.5,0.52,0.52,0.52,0.53,0.53
Uganda,UGA,Uganda,2.1,1.87,3,3.88,2.35,2.29,2.22
Ukraine,UKR,Ukraine,18.45,11.7,9.58,9.22,8.54,8.95,8.89
United Arab Emirates,ARE,United Arab Emirates,40.13,40.02,38.14,34.56,22.88,22.34,22.26
Britain,GBR,United Kingdom,13.58,12.56,11.43,10.93,9.82,9.1,9.33
United States,USA,United States,24.11,23.75,24.49,24.09,21.5,20.87,19.98
Uruguay,URY,Uruguay,8.4,9.42,9.15,9.83,9.87,9.98,10.08
Uzbekistan,UZB,Uzbekistan,8.24,6.32,6.68,6.43,6.22,6.42,6.21
Vanuatu,VUT,Vanuatu,2.96,2.53,2.5,2.08,1.84,1.82,1.8
Venezuela,VEN,Venezuela,10.64,10.31,10.31,9.55,9.25,9.35,9.41
Vietnam,VNM,Viet Nam,1.44,1.59,1.93,2.74,3.13,3.17,3.42
Virgin Islands (British),VGB,Virgin Islands_British,4.43,3.98,3.76,4.06,4.4,4.45,4.51
Virgin Islands (U.S.),VIR,Virgin Islands_USA,0.44,0.44,0.4,0.45,0.57,0.57,0.58
Wallis and Futuna,WLF,Wallis and Futuna,0.56,0.58,0.58,0.59,0.63,0.64,0.65
Western Sahara,ESH,Western Sahara,2.31,2.04,1.94,1.46,1.33,1.31,1.29
Yemen,YEM,Yemen,1.09,1.19,1.38,1.62,1.71,1.71,1.72
Zambia,ZMB,Zambia,26.73,20.94,28.79,34.56,24.19,23.47,22.75
Zimbabwe,ZWE,Zimbabwe,3.36,2.61,4.11,4.71,5.43,5.36,5.25
