ISO,co2_1990,co2_1991,co2_1992,co2_1993,co2_1994,co2_1995,co2_1996,co2_1997,co2_1998,co2_1999,co2_2000,co2_2001,co2_2002,co2_2003,co2_2004,co2_2005,co2_2006,co2_2007,co2_2008,co2_2009,co2_2010,co2_2011,co2_2012,co2_2013,ISO,co2pc_1990,co2pc_1991,co2pc_1992,co2pc_1993,co2pc_1994,co2pc_1995,co2pc_1996,co2pc_1997,co2pc_1998,co2pc_1999,co2pc_2000,co2pc_2001,co2pc_2002,co2pc_2003,co2pc_2004,co2pc_2005,co2pc_2006,co2pc_2007,co2pc_2008,co2pc_2009,co2pc_2010,co2pc_2011,co2pc_2012,co2pc_2013,ISO,co2pcgdp_1990,co2pcgdp_1991,co2pcgdp_1992,co2pcgdp_1993,co2pcgdp_1994,co2pcgdp_1995,co2pcgdp_1996,co2pcgdp_1997,co2pcgdp_1998,co2pcgdp_1999,co2pcgdp_2000,co2pcgdp_2001,co2pcgdp_2002,co2pcgdp_2003,co2pcgdp_2004,co2pcgdp_2005,co2pcgdp_2006,co2pcgdp_2007,co2pcgdp_2008,co2pcgdp_2009,co2pcgdp_2010,co2pcgdp_2011,co2pcgdp_2012,co2pcgdp_2013,ISO,ghg_1990,ghg_1995,ghg_2000,ghg_2005,ghg_2010,ghg_2011,ghg_2012,ISO,ghgpc_1990,ghgpc_1995,ghgpc_2000,ghgpc_2005,ghgpc_2010,ghgpc_2011,ghgpc_2012
BHS,3272,3145,2753,2635,2851,3184,3496,3175,3400,3329,2930,2874,2988,3276,3448,3458,3662,3816,3963,4131,4300,4467,4565,4569,BHS,12.766,12.045,10.348,9.720,10.335,11.368,12.325,11.069,11.727,11.345,9.842,9.485,9.667,10.380,10.694,10.509,10.910,11.158,11.377,11.654,11.927,12.195,12.273,12.108,BHS,706.57,604.08,750.11,656.35,692.08,720.94,661.54,616.93,835.64,667.32,564.51,519.28,395.19,362.93,360.41,367.37,381.21,379.16,373.06,340.85,323.00,343.72,376.97,411.24,BHS,3593.57,3532.13,3185.22,3854.11,4570.36,4726.38,4865.21,BHS,14.02,12.61,10.7,11.71,12.68,12.9,13.08
BHR,12638,12326,12871,12821,12865,12988,13531,14353,15215,15359,15539,16282,17104,17609,18455,20258,21752,23113,25586,26133,27041,26778,27797,28962,BHR,25.483,24.185,24.622,23.933,23.426,23.040,23.342,24.026,24.639,23.964,23.253,23.302,23.348,22.808,22.492,23.032,22.874,22.388,22.926,21.932,21.606,20.714,21.093,21.740,BHR,259.43,274.75,265.83,255.54,282.59,287.67,294.99,290.18,296.35,299.45,295.41,296.67,339.56,367.32,339.04,318.59,296.43,283.04,259.84,264.61,252.63,248.27,242.41,239.40,BHR,17050.71,15330.07,18248.39,23432.38,30921.97,31941.04,32849.11,BHR,34.38,27.19,27.31,26.64,24.71,24.71,24.93
BGD,13201,12388,13600,14277,15554,19411,19783,21589,21875,23351,25310,29940,31062,32388,33968,35006,36732,40613,44215,47114,48958,50013,52343,53825,BGD,0.123,0.113,0.121,0.124,0.133,0.162,0.162,0.173,0.172,0.180,0.191,0.222,0.227,0.233,0.241,0.245,0.254,0.277,0.299,0.315,0.324,0.327,0.338,0.344,BGD,33.61,35.61,39.68,40.85,40.80,41.54,43.96,47.13,43.36,45.08,40.16,39.04,43.42,45.96,42.65,47.44,48.81,48.74,43.07,44.72,44.26,45.19,53.08,51.02,BGD,126701.7,136508.33,136012.9,151091.7,177504.47,180498.43,183300.56,BGD,1.18,1.14,1.03,1.06,1.17,1.18,1.18
BRB,1001,1046,1040,940,904,909,893,946,1028,1125,1123,1057,1103,1085,1123,1152,1154,1198,1210,1233,1267,1312,1314,1326,BRB,3.860,4.022,3.987,3.592,3.445,3.455,3.384,3.575,3.873,4.226,4.205,3.939,4.093,4.008,4.125,4.209,4.197,4.337,4.359,4.421,4.520,4.656,4.640,4.660,BRB,198.65,168.41,222.98,208.00,212.88,228.89,206.90,195.11,253.24,246.54,284.04,304.52,298.23,292.74,282.59,243.96,229.22,224.51,233.89,242.59,218.63,208.67,209.85,206.69,BRB,1199.67,1099.56,1313.95,1310.42,1449.43,1497.65,1540.62,BRB,4.63,4.18,4.92,4.79,5.17,5.31,5.44
BLR,105098,103934,95260,80720,69462,60864,61443,62527,60400,58154,57582,56272,57749,57464,60258,63590,67316,67874,72319,72137,77741,78143,78560,79100,BLR,10.244,10.119,9.280,7.878,6.797,5.973,6.050,6.178,5.992,5.795,5.769,5.672,5.861,5.873,6.199,6.580,6.997,7.081,7.568,7.573,8.191,8.269,8.353,8.454,BLR,947.90,1001.47,1263.99,1405.05,1671.17,1922.06,1967.70,1815.75,1706.30,1613.43,1502.92,1395.65,1301.08,1194.67,1064.26,1020.86,905.70,839.08,752.65,688.72,541.66,441.63,380.38,380.60,BLR,185411.76,130352.35,83387.54,89989.72,108204.55,108921.43,109647.24,BLR,18.07,12.79,8.35,9.31,11.4,11.53,11.66
BEL,115113,119258,117816,115527,120313,121852,127194,123963,127081,122784,122995,122868,116864,123940,120882,116351,114261,110906,116139,109934,115639,116691,112993,114283,BEL,11.536,11.913,11.723,11.448,11.877,11.991,12.486,12.146,12.431,11.988,11.978,11.928,11.303,11.935,11.578,11.073,10.792,10.386,10.781,10.121,10.569,10.602,10.216,10.292,BEL,484.16,471.20,408.79,444.43,422.19,426.14,448.65,400.39,358.69,323.41,286.73,291.67,282.61,282.37,273.16,274.02,268.72,267.33,274.25,278.74,267.08,273.35,277.25,288.83,BEL,137872.52,146712.33,147051.2,136696.04,138029.41,137517.87,133373.68,BEL,13.82,14.44,14.32,13.01,12.62,12.49,12.06
BLZ,293,324,276,249,244,281,239,341,364,409,521,712,695,697,769,783,831,822,862,888,914,952,974,973,BLZ,1.563,1.695,1.415,1.255,1.204,1.359,1.123,1.560,1.618,1.765,2.185,2.904,2.759,2.696,2.903,2.879,2.978,2.873,2.935,2.949,2.962,3.010,3.005,2.933,BLZ,192.00,149.94,154.48,128.18,145.49,133.67,133.98,126.76,196.63,168.98,177.83,175.97,127.67,134.64,129.06,71.63,92.38,124.09,132.19,112.07,97.45,94.05,104.43,87.92,BLZ,632.72,602.93,1676.47,2022.18,1498.88,1536.24,1569.86,BLZ,3.37,2.91,7.03,7.44,4.86,4.86,4.84
BEN,419,373,409,413,421,432,1104,1400,1345,1487,1572,1887,2120,2438,2597,2703,3713,3857,3730,4019,4333,4578,4765,5041,BEN,0.084,0.072,0.076,0.074,0.073,0.072,0.179,0.220,0.205,0.221,0.226,0.263,0.286,0.318,0.328,0.330,0.440,0.443,0.416,0.435,0.456,0.468,0.474,0.488,BEN,71.24,69.55,76.22,48.53,55.20,55.68,59.84,59.60,48.26,53.10,50.48,48.55,54.40,47.13,45.60,36.43,31.16,29.83,25.30,27.01,26.56,26.18,25.51,61.70,BEN,47187.97,45322.67,40254.01,48572.51,33029.82,33289.55,33533.1,BEN,9.44,7.57,5.79,5.94,3.47,3.4,3.34
BMU,611,540,426,431,450,456,463,380,421,451,478,469,486,501,548,540,555,494,512,524,535,558,571,570,BMU,10.212,8.973,7.040,7.087,7.371,7.422,7.503,6.136,6.764,7.208,7.609,7.436,7.665,7.875,8.582,8.424,8.626,7.651,7.922,8.083,8.243,8.573,8.750,8.730,BMU,102.09,92.84,123.87,99.71,109.37,97.51,86.95,88.73,137.71,141.66,181.97,166.50,106.95,86.63,83.98,112.27,125.70,83.75,72.79,58.10,59.44,63.19,65.53,66.57,BMU,652.96,496.77,518.97,584.76,594.65,614.88,632.88,BMU,10.92,8.09,8.26,9.12,9.16,9.45,9.7
BTN,182,186,224,223,247,305,324,353,348,347,353,369,342,331,348,339,360,415,427,456,493,654,653,690,BTN,0.340,0.348,0.424,0.430,0.483,0.599,0.632,0.678,0.652,0.632,0.625,0.635,0.571,0.538,0.548,0.521,0.541,0.611,0.616,0.647,0.688,0.897,0.880,0.915,BTN,41.54,42.25,40.53,41.28,41.19,40.42,39.43,39.03,59.78,48.06,45.37,41.40,44.20,38.87,37.64,41.93,38.59,48.50,47.24,53.34,47.57,48.50,57.16,57.89,BTN,1280.14,1647.89,2309.76,1617.86,3220.4,3259.61,3296.96,BTN,2.39,3.24,4.09,2.49,4.49,4.47,4.44
