ISO,co2_1990,co2_1991,co2_1992,co2_1993,co2_1994,co2_1995,co2_1996,co2_1997,co2_1998,co2_1999,co2_2000,co2_2001,co2_2002,co2_2003,co2_2004,co2_2005,co2_2006,co2_2007,co2_2008,co2_2009,co2_2010,co2_2011,co2_2012,co2_2013,ISO,co2pc_1990,co2pc_1991,co2pc_1992,co2pc_1993,co2pc_1994,co2pc_1995,co2pc_1996,co2pc_1997,co2pc_1998,co2pc_1999,co2pc_2000,co2pc_2001,co2pc_2002,co2pc_2003,co2pc_2004,co2pc_2005,co2pc_2006,co2pc_2007,co2pc_2008,co2pc_2009,co2pc_2010,co2pc_2011,co2pc_2012,co2pc_2013,ISO,co2pcgdp_1990,co2pcgdp_1991,co2pcgdp_1992,co2pcgdp_1993,co2pcgdp_1994,co2pcgdp_1995,co2pcgdp_1996,co2pcgdp_1997,co2pcgdp_1998,co2pcgdp_1999,co2pcgdp_2000,co2pcgdp_2001,co2pcgdp_2002,co2pcgdp_2003,co2pcgdp_2004,co2pcgdp_2005,co2pcgdp_2006,co2pcgdp_2007,co2pcgdp_2008,co2pcgdp_2009,co2pcgdp_2010,co2pcgdp_2011,co2pcgdp_2012,co2pcgdp_2013,ISO,ghg_1990,ghg_1995,ghg_2000,ghg_2005,ghg_2010,ghg_2011,ghg_2012,ISO,ghgpc_1990,ghgpc_1995,ghgpc_2000,ghgpc_2005,ghgpc_2010,ghgpc_2011,ghgpc_2012
CAN,448105,441119,453394,450002,466366,478935,493143,510231,517191,527709,550202,542885,551910,572730,566730,572657,553989,591929,565229,542722,553492,555367,547593,551247,CAN,16.202,15.749,15.993,15.692,16.086,16.349,16.668,17.084,17.159,17.350,17.923,17.520,17.642,18.129,17.758,17.755,16.988,17.945,16.938,16.079,16.219,16.103,15.718,15.669,CAN,461.37,482.19,466.65,468.94,464.53,455.80,464.11,449.39,414.48,377.30,352.50,362.86,352.99,338.21,330.38,350.95,353.84,329.34,320.44,338.54,325.03,328.55,331.73,334.81,CAN,608685,836025.63,760643,849798.74,764137.68,1033481.98,1027063.85,CAN,22.01,28.54,24.78,26.35,22.39,29.97,29.48
CPV,81,84,80,81,83,86,91,95,96,101,162,125,129,131,144,167,143,153,157,154,151,159,165,171,CPV,0.230,0.233,0.218,0.213,0.214,0.214,0.222,0.227,0.225,0.233,0.365,0.277,0.281,0.282,0.305,0.348,0.297,0.317,0.324,0.317,0.310,0.323,0.333,0.342,CPV,259.14,267.92,253.59,240.01,220.82,193.73,205.75,195.34,157.54,64.21,56.99,67.01,63.21,24.98,22.69,35.91,34.39,29.54,28.61,27.86,27.64,27.38,27.80,29.31,CPV,208.24,252.28,333.36,362.76,395.34,403.67,411.33,CPV,0.59,0.63,0.75,0.76,0.81,0.82,0.83
CAF,279,291,284,292,295,310,313,326,335,347,455,451,440,459,436,445,463,503,522,547,573,594,613,631,CAF,0.096,0.098,0.093,0.093,0.092,0.095,0.093,0.095,0.096,0.097,0.125,0.122,0.117,0.120,0.112,0.112,0.115,0.123,0.125,0.128,0.132,0.134,0.135,0.137,CAF,67.30,70.12,77.54,79.89,80.03,75.97,85.93,77.90,81.78,81.49,88.49,82.80,81.60,97.53,92.97,95.70,88.55,85.82,86.13,77.18,74.49,72.94,73.55,115.93,CAF,146226.24,133886.53,499622.06,455529.68,511442.69,513289.52,515134.08,CAF,50.2,40.87,137.32,115.01,117.58,115.7,113.84
TCD,225,215,202,114,115,121,131,129,132,138,133,131,139,142,157,160,167,181,194,205,217,163,169,175,TCD,0.038,0.035,0.032,0.017,0.017,0.017,0.018,0.017,0.017,0.017,0.016,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.018,0.018,0.018,0.013,0.014,0.014,TCD,17.61,17.04,16.15,20.03,19.74,19.51,22.32,24.21,19.83,21.10,21.47,9.70,10.41,16.28,12.14,6.86,6.88,11.99,11.14,10.03,4.99,5.01,4.86,5.06,TCD,18338.29,17935.69,129247.65,123870.95,109130.42,109463.64,109796.02,TCD,3.08,2.57,15.57,12.37,9.31,9.06,8.82
CHL,36545,34691,36337,38224,41763,44886,51217,59086,63713,69628,64090,61823,63327,65906,72297,73290,74929,83115,80780,76241,80350,87628,92554,96422,CHL,2.766,2.578,2.651,2.738,2.940,3.108,3.493,3.973,4.227,4.561,4.147,3.953,4.003,4.120,4.472,4.486,4.540,4.986,4.799,4.487,4.685,5.063,5.299,5.472,CHL,231.08,204.75,163.86,153.22,141.31,130.83,129.47,122.81,112.62,96.97,95.35,97.73,92.64,90.86,85.53,99.49,115.08,119.87,110.16,116.60,115.97,119.72,122.10,133.87,CHL,54730.28,66432.85,90384.58,101594.28,114285,117661.68,120687.89,CHL,4.14,4.6,5.85,6.22,6.66,6.8,6.91
CHN,2473454,2614862,2740205,2974250,3147027,3479439,3582837,3551140,3602892,3521065,3520116,3592195,3856525,4458023,5237128,5810561,6462101,6964721,7738525,8209808,8692789,9540668,9868393,10281178,CHN,2.122,2.210,2.286,2.452,2.567,2.812,2.871,2.825,2.848,2.766,2.749,2.789,2.977,3.422,3.997,4.408,4.873,5.220,5.763,6.076,6.393,6.972,7.166,7.420,CHN,599.07,586.30,613.27,557.25,548.97,547.45,504.47,450.35,406.25,393.41,385.01,387.64,357.72,344.16,314.91,323.21,296.80,264.91,255.45,245.11,240.88,233.18,239.49,229.03,CHN,3892675.16,5042349.12,5082325.6,7803535.6,11183810.6,12064260,12454710.61,CHN,3.34,4.07,3.97,5.92,8.22,8.82,9.04
COL,52039,53660,55644,58800,59013,61715,62770,66574,67910,60834,62299,61141,61219,58092,58204,59860,59891,61280,67193,71151,71962,76502,79916,85777,COL,1.562,1.580,1.608,1.668,1.643,1.687,1.686,1.757,1.761,1.551,1.561,1.507,1.485,1.387,1.369,1.386,1.366,1.377,1.488,1.553,1.549,1.625,1.675,1.775,COL,114.76,116.30,123.62,128.57,124.76,122.98,121.50,120.67,121.29,128.48,129.05,129.33,130.81,127.49,120.73,122.66,113.16,113.78,113.30,115.59,117.47,110.61,111.18,108.46,COL,174396.94,179102.11,164520.42,150617.8,166695.87,170199.58,173411.77,COL,5.24,4.9,4.12,3.49,3.59,3.62,3.64
COM,71,69,63,65,65,69,70,71,72,75,91,139,115,76,87,82,75,182,191,227,263,276,287,298,COM,0.173,0.163,0.146,0.147,0.143,0.147,0.146,0.145,0.143,0.146,0.172,0.257,0.207,0.133,0.148,0.137,0.121,0.287,0.294,0.341,0.385,0.395,0.401,0.405,COM,34.32,37.68,36.43,37.06,41.82,40.71,47.93,47.01,42.94,43.55,43.41,41.30,34.28,34.95,35.12,59.34,60.44,73.49,70.30,63.58,64.13,62.60,64.05,62.81,COM,294.37,317.95,365.9,480.84,543.62,554.34,564.22,COM,0.71,0.68,0.69,0.8,0.8,0.79,0.79
COG,2263,2263,2248,2225,2120,2490,3076,3125,3710,3737,4174,4121,2709,3114,3453,4163,4625,4124,4109,4086,4056,4422,4528,4601,COG,0.949,0.925,0.895,0.863,0.801,0.915,1.099,1.086,1.253,1.228,1.335,1.285,0.825,0.926,1.001,1.175,1.268,1.097,1.060,1.023,0.987,1.046,1.044,1.035,COG,228.32,252.54,209.66,219.04,182.84,172.77,165.36,171.74,168.16,181.12,168.11,157.24,153.07,145.03,141.27,130.33,124.18,122.72,116.24,107.46,97.78,90.09,101.96,121.75,COG,63552.84,57957.63,28435.4,38914.47,35247.16,35504.46,35743.92,COG,26.67,21.3,9.1,10.98,8.57,8.4,8.24
COD,3393,2859,2590,2448,2292,2325,2277,2234,2366,2378,2054,1985,2100,2288,2401,2718,2851,3005,3205,3297,3496,3665,3546,3652,COD,0.097,0.079,0.069,0.062,0.056,0.055,0.053,0.051,0.053,0.052,0.044,0.041,0.042,0.045,0.046,0.050,0.051,0.053,0.054,0.055,0.056,0.057,0.054,0.054,COD,68.75,78.97,86.84,98.58,106.22,106.97,119.48,125.41,136.03,114.36,160.57,160.34,145.41,128.73,121.58,129.71,117.13,101.04,80.13,70.58,62.29,54.58,51.67,46.65,COD,1376921.73,1232299.89,861822.71,794528.22,799228.67,800756.94,802271.3,COD,39.44,29.33,18.36,14.71,12.85,12.53,12.21
CRI,2926,3158,4290,4317,5011,5035,4715,4684,5214,5214,5209,5469,5699,5918,6216,6128,6727,7379,7070,6749,7053,7392,7359,7382,CRI,0.951,1.001,1.327,1.303,1.477,1.448,1.322,1.281,1.390,1.357,1.326,1.363,1.392,1.419,1.464,1.418,1.532,1.653,1.560,1.467,1.510,1.560,1.531,1.515,CRI,81.39,77.80,78.21,75.01,90.33,93.74,93.11,79.39,67.67,53.10,53.08,54.74,56.07,54.88,52.18,55.39,57.71,54.27,57.02,78.26,75.02,83.33,79.63,72.05,CRI,8593.79,10054.85,9851.27,10095.24,11684.57,11994.69,12274.13,CRI,2.79,2.89,2.51,2.34,2.5,2.53,2.55
CIV,2972,3065,3048,3220,3385,3671,4592,5556,5381,7152,6750,6765,7202,5657,5884,6331,6332,5948,6350,6016,5806,5489,5745,5894,CIV,0.245,0.245,0.235,0.241,0.245,0.258,0.314,0.369,0.349,0.453,0.418,0.412,0.432,0.335,0.343,0.364,0.358,0.331,0.348,0.323,0.306,0.283,0.290,0.290,CIV,82.36,84.49,92.09,105.41,103.90,112.11,97.25,87.78,77.01,72.06,87.54,78.35,73.01,76.17,73.59,71.27,68.32,61.69,62.25,59.73,61.63,68.02,67.35,77.51,CIV,152200.6,147447.84,29442.74,26282.74,32525.25,33027.48,33502.16,CIV,12.56,10.37,1.83,1.51,1.71,1.7,1.69
HRV,24942,17700,16377,16825,16160,16674,16541,18354,19553,19800,19119,20242,21305,22631,22347,22527,22700,25439,25129,23733,23105,22647,22772,23026,HRV,5.203,3.688,3.421,3.533,3.417,3.555,3.559,3.989,4.293,4.388,4.272,4.552,4.814,5.130,5.079,5.133,5.184,5.822,5.763,5.456,5.326,5.238,5.287,5.368,HRV,369.76,358.13,389.94,367.39,379.24,354.01,368.29,288.95,486.20,462.54,487.53,486.64,483.12,499.66,481.38,392.54,383.95,267.04,185.63,184.58,194.04,186.81,196.43,196.83,HRV,34734.33,24621.25,27312.04,29863.54,31172.65,30453.51,30421.05,HRV,7.25,5.25,6.1,6.8,7.19,7.04,7.06
CUB,31409,25449,22078,21118,22840,24557,25387,27107,27515,26701,27307,26566,30566,30438,28460,27393,26911,27358,32386,41965,40357,38588,39118,39209,CUB,2.963,2.382,2.052,1.951,2.100,2.246,2.312,2.459,2.487,2.405,2.452,2.377,2.726,2.707,2.525,2.426,2.381,2.421,2.867,3.717,3.577,3.422,3.471,3.480,CUB,99.50,117.08,143.66,170.96,165.10,165.11,166.95,166.53,172.73,169.18,151.15,152.79,151.61,146.98,139.57,141.70,132.31,99.91,79.82,66.85,63.02,67.04,72.08,74.52,CUB,57043.97,46584.98,46257.54,45763.45,49782.53,51170.75,52418.46,CUB,5.38,4.26,4.15,4.05,4.41,4.54,4.65
CYP,4449,5006,5328,5498,5878,5784,6082,6151,6418,6665,6967,6836,7020,7782,7645,7812,7652,7950,8027,7929,7746,7382,7327,7525,CYP,5.804,6.393,6.654,6.714,7.021,6.762,6.964,6.905,7.068,7.201,7.386,7.110,7.164,7.796,7.526,7.566,7.299,7.478,7.453,7.271,7.018,6.611,6.490,6.594,CYP,211.27,160.07,149.20,180.15,180.63,177.18,185.06,191.36,174.40,167.97,159.22,155.58,149.84,163.60,156.95,177.27,180.08,173.54,188.44,203.93,207.74,221.22,223.05,247.90,CYP,5130.36,6594.25,7952.75,8911.67,7563.8,7652.33,7431.19,CYP,6.69,7.71,8.43,8.63,6.85,6.85,6.58
CZE,167460,152355,143112,136849,129954,129922,132989,128205,126457,121521,139089,134861,130380,135838,131961,127695,128061,130027,124582,117218,123220,122208,116997,114083,CZE,16.217,14.749,13.846,13.232,12.563,12.566,12.877,12.434,12.288,11.832,13.569,13.181,12.765,13.312,12.927,12.482,12.463,12.578,11.965,11.178,11.676,11.517,10.975,10.660,CZE,961.63,991.38,1037.85,1067.10,1095.79,1017.11,1022.36,994.08,999.92,993.05,955.29,937.44,905.47,865.94,826.48,757.50,677.64,605.91,534.69,525.96,490.82,457.76,462.37,477.75,CZE,196206.78,150508.56,162021.19,147551.44,145706.92,144613.25,138957.42,CZE,19,14.56,15.81,14.42,13.81,13.63,13.04
DNK,53096,63682,57840,60105,63928,60475,73782,64051,60106,56988,52555,54126,53711,59091,53381,49798,57713,52941,49972,48218,48759,43661,39013,41534,DNK,10.329,12.355,11.185,11.579,12.267,11.557,14.042,12.139,11.344,10.713,9.845,10.108,10.004,10.978,9.888,9.192,10.607,9.683,9.092,8.728,8.784,7.831,6.969,7.392,DNK,352.53,310.37,317.38,350.88,341.02,330.62,339.35,325.87,267.87,270.82,244.48,250.22,284.92,286.15,279.42,249.71,219.25,218.54,264.18,254.35,260.70,274.34,260.46,316.45,DNK,72484.04,79490.35,68553.55,64816.69,63679.09,58416.04,53703.22,DNK,14.1,15.19,12.84,11.96,11.47,10.48,9.59
DJI,1157,1245,1086,1090,1101,1147,1118,1207,1207,1179,1151,1452,1181,1273,1274,1319,1303,1570,1638,1745,1851,1945,2022,2095,DJI,1.961,2.032,1.726,1.698,1.686,1.728,1.654,1.754,1.725,1.657,1.592,1.978,1.586,1.686,1.664,1.699,1.654,1.966,2.023,2.123,2.220,2.297,2.352,2.401,DJI,489.20,558.03,559.58,623.66,609.06,640.92,935.43,930.48,716.95,530.65,429.99,337.40,337.27,321.69,309.85,369.36,682.54,603.94,614.24,510.45,490.18,469.77,475.35,441.18,DJI,1821.59,1914.42,1969.17,2160.04,2629.83,2701.62,2766.3,DJI,3.09,2.88,2.72,2.78,3.15,3.19,3.22
DMA,66,65,65,62,72,80,80,71,78,86,82,97,104,108,119,118,133,136,142,146,150,156,160,160,DMA,0.925,0.919,0.914,0.871,1.013,1.120,1.131,1.009,1.113,1.234,1.174,1.392,1.497,1.538,1.697,1.669,1.878,1.916,2.002,2.051,2.112,2.191,2.230,2.220,DMA,62.98,56.16,62.17,56.37,61.08,56.37,53.54,52.98,96.26,96.35,116.75,113.40,101.79,89.48,86.73,113.72,107.97,99.55,91.57,92.29,87.23,101.37,113.47,115.08,DMA,130.67,140.32,140.87,174.6,211.31,217.38,222.84,DMA,1.84,1.97,2.02,2.48,2.97,3.04,3.11
DOM,8353,8618,10021,9878,11536,12287,13217,15001,16971,18397,19034,18601,20085,19264,19349,18953,20392,21155,21326,21959,22737,22515,23196,23544,DOM,1.153,1.166,1.329,1.285,1.472,1.540,1.628,1.817,2.022,2.157,2.197,2.114,2.248,2.124,2.101,2.029,2.151,2.200,2.187,2.222,2.270,2.219,2.257,2.263,DOM,146.17,155.24,145.43,139.47,147.32,142.49,140.49,133.92,118.97,108.43,118.52,122.00,101.92,114.06,114.49,118.86,114.31,93.97,92.11,103.53,94.72,105.86,108.54,112.19,DOM,17001.15,22043.96,28492.2,29247.79,31668.71,32578.16,33395.08,DOM,2.35,2.76,3.29,3.13,3.16,3.21,3.25
ECU,15748,16366,16653,16262,18091,19806,21631,22188,21880,19379,20914,21826,24930,24974,25066,26384,28373,28957,27672,30312,32083,32270,33562,35365,ECU,1.556,1.580,1.571,1.501,1.633,1.750,1.872,1.880,1.817,1.577,1.669,1.708,1.913,1.881,1.853,1.915,2.023,2.029,1.907,2.054,2.139,2.117,2.166,2.247,ECU,68.83,83.78,90.83,101.85,112.25,124.06,130.16,133.18,143.72,153.13,142.46,141.57,144.18,145.25,131.32,131.84,124.18,128.17,125.24,126.72,120.19,124.00,129.13,135.61,ECU,30859.49,38984.73,39805.12,47049.33,50320.7,51593.66,52746.57,ECU,3.05,3.45,3.18,3.42,3.35,3.38,3.4
EGY,90974,92441,94791,95456,90727,96716,103308,109934,115596,120906,126661,128964,141579,147406,155535,170629,180414,188550,189078,190793,196667,205221,217994,213494,EGY,1.615,1.611,1.624,1.610,1.506,1.581,1.663,1.742,1.804,1.857,1.915,1.919,2.073,2.123,2.203,2.377,2.472,2.540,2.505,2.485,2.519,2.585,2.701,2.602,EGY,83.50,93.60,96.07,106.58,105.79,102.45,104.80,108.59,116.67,118.26,123.71,130.62,133.02,134.02,129.95,135.63,134.49,129.40,122.71,120.20,115.11,107.52,112.13,117.31,EGY,139101.65,155524.88,184459.74,243789.53,280255.58,288287.83,295499.75,EGY,2.47,2.54,2.79,3.4,3.59,3.63,3.66
SLV,2596,3321,3721,4074,4745,5188,4589,5620,5889,5808,5801,6018,6028,6373,6416,6527,6547,7147,7046,7160,6862,7146,7329,7408,SLV,0.486,0.612,0.675,0.728,0.836,0.903,0.790,0.960,0.999,0.980,0.973,1.006,1.003,1.057,1.060,1.075,1.074,1.167,1.145,1.158,1.104,1.142,1.164,1.168,SLV,85.42,83.62,87.36,82.71,80.87,81.53,74.97,61.07,57.91,52.34,52.56,50.41,53.96,52.28,51.95,58.39,55.90,57.36,72.47,83.82,90.54,103.16,110.71,96.31,SLV,6685.71,9244.05,10344.83,11528.25,11978.85,12293.61,12577.79,SLV,1.25,1.61,1.74,1.9,1.93,1.97,2
GNQ,100,356,596,855,1101,1170,1251,1684,2026,2168,2329,3060,2475,2675,3058,3110,3057,3153,2978,2934,2891,2611,2635,2644,GNQ,0.266,0.922,1.493,2.069,2.575,2.647,2.742,3.572,4.165,4.317,4.494,5.725,4.488,4.704,5.219,5.151,4.918,4.929,4.526,4.335,4.152,3.646,3.578,3.492,GNQ,92.79,97.40,75.16,69.50,65.31,54.96,38.47,15.15,11.33,11.55,10.05,6.11,5.84,5.39,3.91,3.55,4.97,4.23,13.49,24.55,35.68,43.73,45.01,50.63,GNQ,243.38,1991.99,4048.33,5675.89,6099.11,6243.1,6374.17,GNQ,0.65,4.51,7.81,9.4,8.76,8.72,8.66
ERI,234,236,467,666,749,814,894,847,638,680,675,735,757,739,730,644,561,549,711,731,772,852,897,944,ERI,0.072,0.071,0.140,0.199,0.223,0.239,0.257,0.238,0.174,0.179,0.171,0.179,0.177,0.165,0.156,0.133,0.111,0.105,0.132,0.131,0.135,0.144,0.146,0.149,ERI,49.07,50.61,45.25,41.65,33.65,35.46,33.99,31.33,35.19,29.86,31.71,28.05,26.82,33.38,33.05,33.42,34.76,36.05,40.33,76.77,107.16,110.82,112.55,121.93,ERI,3335.24,3751.32,4981.26,4476.29,4844.79,4912.88,4977.89,ERI,1.02,1.1,1.26,0.92,0.84,0.83,0.81
EST,36460,32648,23336,17857,17843,16033,16935,16588,16048,14952,14663,14979,19808,16431,16880,16927,16437,20264,18641,15662,19470,21156,20047,20277,EST,23.292,21.074,15.321,11.974,12.223,11.188,11.989,11.873,11.582,10.868,10.733,11.042,14.698,12.267,12.673,12.774,12.463,15.432,14.254,12.020,14.994,16.343,15.531,15.752,EST,3708.41,3728.15,3784.69,3648.93,3792.56,3575.26,3408.39,2993.11,2814.11,2813.20,2508.96,2314.33,2163.48,2040.87,1913.85,1770.91,1568.32,1090.14,1018.45,847.44,632.25,576.64,498.50,522.20,EST,55787.32,31933.33,17768.81,20053.58,22767.13,24378.85,23292.78,EST,35.64,22.28,13.01,15.13,17.53,18.83,18.05
ETH,1691,1679,1622,2054,2382,2702,3053,3214,3403,3312,3698,4569,4693,5052,5390,5657,6169,6928,6543,6578,6643,7154,7434,7823,ETH,0.035,0.034,0.031,0.039,0.043,0.047,0.052,0.053,0.055,0.052,0.056,0.067,0.067,0.070,0.073,0.074,0.079,0.086,0.079,0.078,0.076,0.080,0.081,0.083,ETH,33.19,35.74,33.49,30.18,31.48,30.25,27.61,25.95,30.71,24.89,24.49,22.00,23.07,28.58,26.21,28.47,27.40,24.81,22.24,19.74,22.22,23.17,24.18,24.75,ETH,67300.58,69202.1,183617.67,200010.18,182771.2,184045.88,185292.17,ETH,1.4,1.21,2.78,2.63,2.1,2.06,2.02
FJI,1259,1106,929,971,918,974,1018,1014,972,1023,517,559,728,736,731,755,843,969,1012,1101,1197,1259,1279,1300,FJI,1.729,1.504,1.248,1.286,1.199,1.256,1.297,1.279,1.213,1.268,0.638,0.687,0.892,0.900,0.892,0.918,1.018,1.160,1.199,1.292,1.391,1.450,1.462,1.476,FJI,134.36,161.33,137.36,127.38,142.91,143.25,152.85,238.35,200.93,185.73,188.61,121.21,147.40,145.24,135.13,153.05,176.38,198.39,172.39,146.66,153.20,142.15,147.57,150.13,FJI,2328.86,2182.2,1574.68,1836.07,2163.92,2213.24,2258.17,FJI,3.2,2.81,1.94,2.23,2.51,2.55,2.58
FIN,57043,57647,54864,56194,62943,59387,66000,63892,59786,59010,57273,62598,66303,76584,70525,58611,70228,67751,60815,59371,68373,60609,53689,57370,FIN,11.439,11.508,10.897,11.102,12.375,11.626,12.875,12.429,11.602,11.425,11.064,12.065,12.750,14.690,13.489,11.172,13.331,12.802,11.435,11.110,12.738,11.247,9.927,10.572,FIN,354.37,347.36,361.49,414.70,397.49,430.04,413.68,393.00,313.51,291.05,266.80,268.64,288.82,283.81,272.85,281.72,269.83,267.26,269.30,280.23,277.69,302.49,288.31,324.89,FIN,75555.06,77426.36,75117.48,76199.79,84371.54,76124.63,69072.94,FIN,15.15,15.16,14.51,14.52,15.72,14.13,12.77
FRA,392767,415795,405522,384973,380133,388346,400792,393281,415939,409093,407878,415538,409502,416639,413928,411329,401356,394399,396885,384037,391094,363808,362493,368085,FRA,6.909,7.282,7.072,6.687,6.578,6.695,6.885,6.732,7.094,6.946,6.888,6.972,6.820,6.883,6.785,6.694,6.490,6.340,6.345,6.107,6.185,5.722,5.670,5.725,FRA,309.71,296.41,269.76,295.88,279.79,283.92,285.12,268.36,233.76,215.37,200.40,191.18,184.36,177.17,173.29,165.53,168.02,166.48,176.38,177.62,165.76,160.42,163.86,168.76,FRA,554685.28,543013.14,559922.2,557130.13,532133.04,502656.66,499146.63,FRA,9.76,9.36,9.46,9.07,8.42,7.91,7.81
GAB,4390,4382,4650,4758,4630,5213,5816,5571,6360,5965,5964,6250,6143,6668,6333,6422,5738,5557,5842,5660,5518,5601,5787,5924,GAB,4.638,4.506,4.656,4.639,4.398,4.825,5.246,4.898,5.452,4.988,4.867,4.979,4.779,5.068,4.701,4.656,4.061,3.839,3.940,3.726,3.546,3.514,3.545,3.544,GAB,152.06,145.99,194.66,222.12,215.20,232.03,214.11,195.15,202.21,223.83,213.18,231.96,265.35,193.49,172.10,170.62,191.91,176.50,174.42,190.62,182.78,166.08,177.08,186.58,GAB,12276.86,13230.37,32923.1,14185.92,34053.55,34324.76,34570.63,GAB,12.97,12.24,26.86,10.28,21.88,21.53,21.18
GMB,164,174,158,168,178,175,174,180,186,196,190,209,202,207,207,219,223,233,241,248,255,268,278,288,GMB,0.179,0.183,0.161,0.166,0.172,0.165,0.159,0.160,0.161,0.164,0.155,0.165,0.155,0.153,0.149,0.153,0.150,0.152,0.153,0.152,0.152,0.154,0.155,0.156,GMB,64.45,65.48,66.48,67.15,75.66,75.46,84.09,91.27,76.86,74.43,71.48,71.48,74.07,69.01,63.70,83.87,78.74,70.72,70.83,60.43,60.32,66.93,62.13,58.46,GMB,1189.59,1244.17,2864.99,3001.6,3481.57,3505.92,3529.23,GMB,1.3,1.17,2.33,2.09,2.07,2.02,1.97
GEO,30047,23574,19651,15823,10231,7506,6391,5605,5029,4691,4976,3767,14133,3377,3799,4637,5101,5961,5310,6216,5751,7188,7029,6868,GEO,5.503,4.351,3.676,3.012,1.984,1.481,1.281,1.139,1.034,0.977,1.049,0.804,3.058,0.740,0.841,1.036,1.147,1.347,1.203,1.412,1.310,1.643,1.613,1.582,GEO,1210.62,1603.54,2666.49,3712.65,4079.44,3943.73,3547.75,3223.34,3139.90,3010.80,2858.41,2689.33,2493.55,2180.16,2060.61,1876.75,1680.51,1185.96,909.42,787.82,597.04,360.95,249.39,205.81,GEO,38220.59,13616.27,11554.31,11190.17,13108.62,14665.8,14627.75,GEO,7,2.69,2.44,2.5,2.99,3.35,3.36
DEU,1021398,990438,938987,933567,921678,916958,939072,909691,901591,869700,867226,885641,870402,881739,881086,846455,859428,837713,857246,813188,821500,802548,825728,844981,DEU,12.690,12.224,11.504,11.354,11.138,11.028,11.261,10.896,10.797,10.417,10.384,10.596,10.401,10.523,10.508,10.097,10.263,10.023,10.281,9.776,9.896,9.682,9.973,10.214,DEU,472.30,437.12,405.98,433.68,415.87,423.05,438.28,411.09,391.09,367.44,357.79,359.17,361.55,362.57,358.86,351.00,331.07,314.01,301.23,301.07,287.79,274.96,271.68,277.03,DEU,1256074.03,1131718.77,1016295.55,981287.68,948006.75,929540.26,951716.71,DEU,15.61,13.61,12.17,11.7,11.42,11.21,11.49
GHA,3186,2965,3498,3603,3846,4120,4466,4668,6335,6959,6289,6734,7288,7255,6648,7084,8667,9094,8169,9857,10343,10982,11751,12319,GHA,0.218,0.197,0.226,0.226,0.235,0.246,0.260,0.266,0.353,0.379,0.334,0.349,0.368,0.357,0.319,0.331,0.395,0.404,0.354,0.416,0.426,0.442,0.463,0.476,GHA,92.14,93.57,96.14,93.78,93.79,87.54,74.13,71.84,82.74,68.44,41.62,46.23,51.94,53.35,52.05,53.51,56.14,52.17,44.78,50.81,48.44,44.97,44.28,44.80,GHA,29495.58,30510.82,107699.82,113159.71,106432.69,107126.22,107784.29,GHA,2.02,1.82,5.72,5.29,4.39,4.32,4.25
GIB,150,209,246,249,293,290,293,305,321,333,342,348,354,370,373,383,398,410,402,416,444,444,436,442,GIB,5.588,7.751,9.100,9.182,10.747,10.619,10.735,11.207,11.794,12.238,12.504,12.601,12.660,13.009,12.951,13.154,13.614,14.006,13.716,14.223,15.173,15.168,14.896,15.079,GIB,88.35,90.06,94.42,91.87,83.66,77.05,104.28,120.12,104.80,113.74,98.87,93.28,98.06,126.36,121.73,149.78,136.78,144.75,200.39,248.60,251.88,295.78,292.79,295.94,GIB,159.45,302.6,356.18,397.69,443.48,459.12,473.01,GIB,5.94,11.09,13.02,13.68,15.16,15.69,16.15
GRC,78403,78349,80054,79614,80102,81739,84215,88147,92208,91755,96152,98414,98474,102016,101467,103584,102132,105894,102012,98090,92495,90315,86200,79063,GRC,7.716,7.646,7.735,7.610,7.576,7.659,7.828,8.136,8.462,8.381,8.752,8.936,8.931,9.248,9.195,9.381,9.241,9.569,9.204,8.838,8.325,8.123,7.749,7.105,GRC,188.17,178.61,186.40,212.86,218.96,226.31,233.73,226.24,216.84,214.10,218.17,214.43,219.16,205.40,195.88,222.25,224.43,222.43,222.76,234.98,245.84,266.27,292.07,312.99,GRC,96659.04,99302.95,115225.46,120036.21,107505.98,105013.93,100571.17,GRC,9.51,9.31,10.49,10.87,9.68,9.44,9.04
GRD,122,120,120,118,146,138,155,165,159,173,427,393,426,419,445,505,569,566,582,608,634,661,676,676,GRD,1.262,1.249,1.237,1.205,1.470,1.375,1.542,1.627,1.570,1.710,4.206,3.859,4.168,4.093,4.332,4.905,5.510,5.459,5.602,5.830,6.055,6.288,6.407,6.379,GRD,53.68,46.20,57.17,50.23,54.70,49.39,46.28,44.80,87.16,86.92,99.13,103.28,74.18,67.28,67.98,63.33,67.55,97.43,95.69,102.28,101.26,123.93,119.05,131.87,GRD,157.9,177.64,474.97,562.25,682.66,705.68,726.19,GRD,1.64,1.77,4.67,5.46,6.52,6.72,6.88
